A5A5A5A5A5A5
   Counter,      Date,      Time,   Battery,  Fix,       Latitude,      Longitude,    Dp>0.3,    Dp>0.5,    Dp>1.0,    Dp>2.5,    Dp>5.0,   Dp>10.0,   PM1_Std, PM2.5_Std,  PM10_Std,   PM1_Env, PM2.5_Env,  PM10_Env,   Temp(C),     RH(%),    P(hPa),   Alti(m)
       134,  2000/1/1,    0:2:43,      0.00,    0,              0,              0,       555,       181,        12,         0,         0,         0,         2,         2,         2,         2,         2,         2,     27.45,42.11,101.90,101.90
       135,  2000/1/1,    0:2:44,      0.00,    0,              0,              0,       528,       172,        12,         0,         0,         0,         2,         2,         2,         2,         2,         2,     27.45,42.30,101.90,101.90
       136,  2000/1/1,    0:2:45,      0.00,    0,              0,              0,       528,       172,        12,         0,         0,         0,         2,         2,         2,         2,         2,         2,     27.46,42.55,101.90,101.90
       137,  2000/1/1,    0:2:46,      0.00,    0,              0,              0,       528,       172,        12,         0,         0,         0,         2,         2,         2,         2,         2,         2,     27.47,42.22,101.90,101.90
       138,  2000/1/1,    0:2:47,      0.00,    0,              0,              0,       528,       172,        12,         0,         0,         0,         2,         2,         2,         2,         2,         2,     27.47,42.17,101.90,101.90
       139,  2000/1/1,    0:2:48,      0.00,    0,              0,              0,       441,       143,        15,         0,         0,         0,         1,         2,         2,         1,         2,         2,     27.48,43.22,101.90,101.90
       140,  2000/1/1,    0:2:49,      0.00,    0,              0,              0,       441,       143,        15,         0,         0,         0,         2,         3,         3,         2,         3,         3,     27.49,43.11,101.89,101.89
       141,  2000/1/1,    0:2:50,      0.00,    0,              0,              0,       483,       157,        18,         0,         0,         0,         2,         3,         3,         2,         3,         3,     27.49,41.58,101.89,101.89
       142,  2000/1/1,    0:2:51,      0.00,    0,              0,              0,       504,       164,        18,         0,         0,         0,         3,         3,         3,         3,         3,         3,     27.50,41.08,101.89,101.89
       143,  2000/1/1,    0:2:52,      0.00,    0,              0,              0,       504,       164,        18,         0,         0,         0,         2,         2,         2,         2,         2,         2,     27.51,41.08,101.89,101.89
       144,  2000/1/1,    0:2:53,      0.00,    0,              0,              0,       444,       144,        18,         0,         0,         0,         1,         2,         2,         1,         2,         2,     27.51,41.54,101.89,101.89
       145,  2000/1/1,    0:2:54,      0.00,    0,              0,              0,       444,       144,        18,         0,         0,         0,         1,         2,         2,         1,         2,         2,     27.52,41.30,101.89,101.89
       146,  2000/1/1,    0:2:55,      0.00,    0,              0,              0,       405,       131,         9,         0,         0,         0,         1,         1,         1,         1,         1,         1,     27.52,41.38,101.89,101.89
       147,  2000/1/1,    0:2:56,      0.00,    0,              0,              0,       435,       141,        12,         0,         0,         0,         1,         1,         1,         1,         1,         1,     27.53,41.40,101.89,101.89
       148,  2000/1/1,    0:2:57,      0.00,    0,              0,              0,       435,       141,        12,         0,         0,         0,         1,         1,         1,         1,         1,         1,     27.53,41.65,101.89,101.89
